date,url,arabic_article_text,actor1,actor2,location,tone,event_type
2025-02-02 23:30:00.000000 UTC,https://stepagency-sy.net/2025/02/02/%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A-%D9%8A%D8%AA%D8%AD%D8%AF%D8%AB-%D8%B9%D9%86-%D8%B4%D8%B1%D8%B7/,"الرئيس الجزائري يتحدث عن شرط وحيد لعلاقات مع إسرائيل ويحذر ماكرون من ""خطأ فادح"" | وكالة ستيب نيوز",FRENCH,MOROCCAN,Israel,-10.4166666666667,20
2025-02-02 23:45:00.000000 UTC,https://kuwaitnews.com/100216/,النائب الأول لرئيس الوزراء يلتقي أعضاء سفارة الكويت والضباط الكويتيين الدارسين في مصر,KUWAITI,EGYPTIAN,Egypt,4.85436893203883,51
2025-02-03 11:30:00.000000 UTC,https://www.kuna.net.kw/ArticleDetails.aspx?id=3217413&Language=ar,كونا : الرئيس السوري الانتقالي يصل إلى أنقرة غدا في ثاني زيارة خارجية له - الشؤون السياسية,SAUDI ARABIA,SYRIA,Syria,1.53846153846154,42
2025-02-03 22:00:00.000000 UTC,https://www.vetogate.com/5341130,وزير الطيران: نستهدف تحويل مصر إلى مركز إقليمي للشحن الجوي والتجارة العالمية,UNITED KINGDOM,,"Cairo, Al Qahirah, Egypt",4.3517679057117,42
2025-02-03 22:00:00.000000 UTC,https://www.annaharkw.com/annahar/Article.aspx?id=1012157,وزير العدل ووفد مغربي بحثا أوجه التعاون القضائي المشترك,MOROCCAN,,Kuwait,2.91970802919708,90
2025-02-03 22:15:00.000000 UTC,https://www.dostor.org/4951846,وزير الاستثمار: السوق المصري يمتلك فرص استثمارية في مختلف القطاعات,MINIST,EGYPTIAN,Egypt,1.31004366812227,130
2025-02-03 22:15:00.000000 UTC,http://www.elbrqnews.com/New-News/181496.html,علاقة استراتيجية.. الرئيس السوري يشكر المملكة على حفاوة الاستقبال,SYRIAN,UNITED KINGDOM,"Mecca, Makkah, Saudi Arabia",9.43396226415094,51
2025-02-03 22:45:00.000000 UTC,http://www.elbrqnews.com/New-News/181562.html,البرلمان العربي يدين قرار الاحتلال الإسرائيلي إلغاء اتفاقية 1967 مع وكالة الأونروا,PARLIAMENT,ISRAELI,"Unrwa, Gaza Strip (general), Gaza Strip",-4.76190476190475,111
2025-02-03 23:00:00.000000 UTC,http://www.elbrqnews.com/New-News/181594.html,الرئيس السيسي يستقبل نظيره الكيني لبحث تعزيز العلاقات الثنائية والتشاور حول الأوضاع الإقليمية,ISRAEL,PALESTINIAN,"Gaza, Israel (general), Israel",1.25228280720062,120
2025-02-03 23:15:00.000000 UTC,https://elaph.com/Web/ElaphWriter/2025/02/1560147.html,مأزق السياسة القطرية في الشرق الأوسط,PRESIDENT,SYRIA,"Damascus, Dimashq, Syria",-0.30060120240481,43
2025-02-03 23:15:00.000000 UTC,https://kuwaitnews.com/100292/,الشرع: الوصول إلى انتخابات رئاسية يحتاج ما بين 4 و5 سنوات,SYRIA,,"As Suq Al Hurrah, Dimashq, Syria",-2.15827338129497,190
2025-02-03 23:30:00.000000 UTC,https://www.kuna.net.kw/ArticleDetails.aspx?id=3217528&Language=ar,كونا : البرلمان العربي يدين مجددا قرار الاحتلال بحظر عمل (أونروا) - الشؤون السياسية,PARLIAMENT,,"Jerusalem, Israel (general), Israel",-4.77941176470593,111
2025-02-03 23:30:00.000000 UTC,https://www.albawabhnews.com/5149406,البرلمان العربي يدين قرار الاحتلال الإسرائيلي إلغاء اتفاقية 1967 مع وكالة الأونروا,PARLIAMENT,,"Unrwa, Gaza Strip (general), Gaza Strip",-4.19354838709679,111
2025-02-03 23:30:00.000000 UTC,https://www.kuna.net.kw/ArticleDetails.aspx?id=3217520&language=ar,كونا : الرئيس الأمريكي يشبه الاحتلال الإسرائيلي برأس قلم على مكتبه - الشؤون السياسية,ISRAELI,,Israel,2.39520958083832,14
2025-02-03 23:30:00.000000 UTC,https://alwasat.ly/news/arabic/466015,الشرع: سورية تحتاج إلى أربع أو خمس سنوات لتنظيم الانتخابات ونظام الحكم سيكون جمهوريًّا,SYRIA,GOVERNMENT,"Idlib, Idlib, Syria",-2.23325062034739,120
2025-02-04 09:15:00.000000 UTC,http://www.elbrqnews.com/New-News/182197.html,لجنة الانتخابات: انسحاب د. الشيخة إيشاع آل خليفة بسبب ظروف خاصة,BAHRAIN,,Bahrain,0.61538461538462,26
2025-02-04 21:30:00.000000 UTC,https://www.dostor.org/4953257,"""خلاف"": زيارة وزير الخارجية إلى أنقرة تعطي إشارة قوية للعلاقات بين البلدين",TURKISH,EGYPT,"Wizarat Al Kharijiyah, Al Qahirah, Egypt",2.734375,43
2025-02-04 21:30:00.000000 UTC,https://www.vetogate.com/5340234,سر انشغال الإمام الشافعي بالتعليم والبعد عن السياسة والإمارة,IMAM,CAIRO,Egypt,-2.39567233384853,51
2025-02-04 21:30:00.000000 UTC,https://maqar.com/archives/701146,الحكومة تبدأ مراجعة أنظمة تسجيل الأدوية البيولوجية لتعزيز القطاعين الصحي والصناعي - صحيفة المقر,GOVERNMENT,,Jordan,2.02578268876611,50
2025-02-04 21:30:00.000000 UTC,https://www.emaratalyoum.com/politics/news/2025-02-05-1.1918368,وزير الداخلية السوري السابق محمد الشعار يسلّم نفسه للسلطات الجديدة,PRISON,,"Latakia, Al Ladhiqiyah, Syria",-4.375,10
2025-02-04 22:00:00.000000 UTC,https://www.kuna.net.kw/ArticleDetails.aspx?id=3217680&Language=ar,كونا : الرئيس التركي: هناك توافق بالآراء بين أنقرة والإدارة السورية في جميع القضايا - الشؤون السياسية,SYRIA,TURKEY,Syria,2.04081632653061,46
2025-02-04 22:00:00.000000 UTC,https://www.alnilin.com/13367600.htm,«الداخلية»: القبض على رئيس مجلس إدارة شركة شهيرة في الإسكندية لغسل 50 مليون جنيه - النيلين,,COMPANY,"Wizarat Ad Dakhiliyah, Al Qahirah, Egypt",-3.60824742268041,43
2025-02-04 22:00:00.000000 UTC,https://we.mansheet.net/%D8%B9%D8%A7%D8%AC%D9%84-%D9%88%D9%84%D9%8A_%D8%A7%D9%84%D8%B9%D9%87%D8%AF-%D9%88%D8%B1%D8%A6%D9%8A%D8%B3-%D8%AF%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D9%8A%D8%B3/,#عاجل .. #ولي_العهد ورئيس دولة الإمارات يستعرضان هاتفياً العلاقات الأخوية بين البلدين - جريدة مانشيت,,PRESIDENT,United Arab Emirates,7.21649484536082,41
2025-02-04 22:00:00.000000 UTC,https://www.kuna.net.kw/ArticleDetails.aspx?id=3217685&Language=ar,"كونا : وزير الخارجية الإيراني يؤكد أهمية الحفاظ على أجواء ""التفاهم الوطني"" في لبنان - الشؤون السياسية",REFUGEE,,Lebanon,1.81818181818181,70
